S. No.,Wine,Vintage,Varietal,Type,Country,Region,User Rating,Body,Price,Sweetness,Morrisons'
82,Aaldering Cabernet Sauvignon Merlot Aaldering Vineyards,2007,Red Bordeaux Blend,Red,South Africa,Coastal Region,93.8,C,9.25,2,N
83,Cloudy Bay Pelorus Rose,2009,Champagne Blend,Rose - Sparkling,New Zealand,South Island,82.8,C,18,2,N
84,Pernod Ricard Bluff Hill,2010,Champagne Blend,Rose - Sparkling,New Zealand,South Island,81,C,14,2,N
85,Cloudy Bay Chardonnay,2010,Chardonnay,White,New Zealand,South Island,88.5,C,20,2,N
86,Cloudy Bay Gewürztraminer,2007,Gewürztraminer ,White,New Zealand,South Island,87.8,E,18,5,N
87,Cloudy Bay Gewürztraminer Late Harvest,2008,Gewürztraminer ,White - Sweet/Desert,New Zealand,South Island,87,D,19.95,8,N
88,Azienda Agricola Belvedere (Luigi Zanini) Castello Luigi,2001,Chardonnay Blend,White,Switzerland,Ticino,94,C,30,2,N
89,Azienda Agricola Belvedere (Luigi Zanini) Rosso Ticinese Castello Luigi,2005,Merlot Blend,Red,Switzerland,Ticino,91.7,C,13.5,2,N
90,Schloss Gobelsburg Grüner Veltliner Ried Lamm,2007,Grüner Veltliner,White,Austria,Niederösterreich,83,D,39.8,2,N
91,Abfüller Gerald Tschida Zweigelt Fuchsloch,2007,Zweigelt,Red,Austria,Burgenland,88,E,10.25,2,N
92,Paul Achs Blaufränkisch Altenberg,2009,Blaufränkisch,Red,Austria,Burgenland,85,B,10,2,N
93,Avondale Grahamn Reserve,2003,Pinotage Blend,Red,South Africa,Coastal Region,91,E,15,2,N
94,Cossart Gordon & Co. Madeira Sercial,1905,Sercial,White - Fortified,Portugal,Madeira,84,C,275,2,N
95,2 Lads Cabernet Franc,2008,Cabernet Franc,Red,USA,Michigan,83.5,C,7.5,2,N
96,2 Lads Cabernet Franc Rose,2007,Cabernet Franc,Rose,USA,Michigan,93,A,7,2,N
97,A.A. Calem & Filho S.A. Douro Trium,2002,Tempranillo/Tinto Fino/Tinta Roriz,Red,Portugal,Douro,84,C,18.5,2,N
98,Aliança Vinho Regional Beiras Vista TR,2005,Tempranillo/Tinto Fino/Tinta Roriz,Red,Portugal,Beiras,78,C,13,2,N
99,Agro Batoreu Ribatejo Terra Silvestre,2008,Touriga National/Franca Blend,Red,Portugal,Ribatejano,87.7,B,8,2,N
100,Barão de Vilar Dão,2010,Touriga National/Franca Blend,Red,Portugal,Beiras,82,B,6.25,2,N
101,Carlisle Alicante Bouschet,2004,Alicante Bouschet,Red,USA,California,86.3,D,14.5,2,N
102,Bray Vineyards Alicante Bouschet,2006,Alicante Bouschet,Red,USA,California,93,D,11,2,N
103,Concha y Toro Syrah Gran Reserva Serie Riberas San Javier,2010,Shiraz/Syrah,Red,Chile,Central Valley,87,E,5,2,Y
104,Montes Cabernet Sauvignon Alpha Apalta Vineyard,2009,Cabernet Sauvignon,Red,Chile,Central Valley,88.4,E,7.25,2,Y
105,Cadis Amarone della Valpolicella Cadís,2009,Corvina Blend,Red,Italy,Veneto,87,E,6.25,2,Y
106,A. Ogier & Fils Châteauneuf-du-Pape La Lauvigniere,2009,Grenache/Garnacha Blend,Red,France,Rhone,86,E,5.75,5,Y
107,Bellingham Cabernet Sauvignon,2007,Cabernet Sauvignon,Red,South Africa,Coastal Region,80,E,9,2,Y
108,Buckingham Estate Shiraz Reserve,2006,Shiraz/Syrah,Red,Australia,Western Australia,85,E,10.5,2,Y
109,Victoria Ridgeview Rose,2009,Champagne Blend,Rose - Sparkling,UK,England,90,C,26.95,2,N
110,"Nyetimber Rose, England",2007,Champagne Blend,Rose - Sparkling,UK,England,93,C,45,2,N
111,"Berrys' United Kingdom Cuvee, Rose, Grand Cru, Champagne Marguet",NV,Champagne Blend,Rose - Sparkling,France,Champagne,89,C,29.95,2,N
112,"Rose, Grand Cru, Champagne Mailly",NV,Pinot Noir,Rose - Sparkling,France,Champagne,90,C,34.95,2,N
113,"Champagne de Sousa, Brut Rose, Grand Cru",NV,Champagne Blend,Rose - Sparkling,France,Champagne,90,D,36.95,2,N
114,"Champagne R&L Legras, Rose",NV,Champagne Blend,Rose - Sparkling,France,Champagne,92,D,39.95,2,N
115,Bollinger Rose Non Vintage,NV,Champagne Blend,Rose - Sparkling,France,Champagne,94,D,52.2,2,N
116,Dom Ruinart Rose,1996,Pinot Noir,Rose - Sparkling,France,Champagne,96,D,230,2,N
117,Ch. Plantey Canteloup Rose Bordeaux,2011,Merlot,Rose,France,Bordeaux,85,B,6.95,2,N
118,"Rose de Giscours, Ch. Giscours, Bordeaux",2011,Cabernet Sauvignon Blend,Rose,France,Bordeaux,92,D,24,2,N
119,"Bourgogne Rosé, Camille Giroud",2010,Pinot Noir,Rose,France,Burgundy,89,C,13.5,2,N
120,"La Rosa Reserve, Quinta de la Rosa, Douro",2008,Port Blend,Red - Fortified,Portugal,Douro,90,E,26.5,2,N
121,"La Rosa Reserve, Quinta de la Rosa, Douro",2009,Port Blend,Red - Fortified,Portugal,Douro,91,E,32,2,N
122,Quarles Harris,1997,Port Blend,Red - Fortified,Portugal,Douro,92,E,35,8,N
123,"Gran Reserva 890, La Rioja Alta",1982,Tempranillo/Tinto Fino/Tinta Roriz,Red - Fortified,Spain,La Rioja,97,D,225,2,N
124,Quinta do Vesuvio DOC,2008,Touriga Nacional,Red - Fortified,Portugal,Douro,93,E,60,2,N
125,Graham's Quinta dos Malvedos,1979,Port Blend,Red - Fortified,Portugal,Douro,92,E,150,6,N
126,"Camel Valley, Pinot Noir Brut Sparkling",2006,Pinot Noir,White - Sparkling,UK,England,90,C,29.95,2,N
127,"Antech Brut Nature, Blanquette de Limoux",NV,Mauzac,White - Sparkling,France,Languedoc-Roussillon,85,C,11.95,2,N
128,"Prosecco Asolo Extra Dry, Bele Casel, Veneto",NV,Prosecco,White - Sparkling,Italy,Veneto,86,B,12.95,3,N
129,"Prosecco Asolo 'Millesimato', Bele Casel, Veneto",2010,Prosecco,White - Sparkling,Italy,Veneto,88,B,16.95,5,N
130,"Gramona, Brut Nature, Gran Reserva",2006,Cava Blend,White - Sparkling,Spain,Cava,88.5,C,17.95,2,N
131,Nyetimber Premiere Cuvee Blanc de Blancs,2001,Chardonnay,White - Sparkling,UK,England,90.5,D,35.95,2,N
132,"Vouvray Petillant, Cuvee Brut, Domaine Gaston Huet",2005,Chenin Blanc,White - Sparkling,France,Loire,89,E,24.5,2,N
133,"Grosvenor Blanc de Blancs, Ridgeview Estate",2008,Champagne Blend,White - Sparkling,UK,England,89.5,C,26.95,2,N
134,"Knightsbridge, Ridgeview Estate",2009,Champagne Blend,White - Sparkling,UK,England,89.3,C,26.95,2,N
135,"Pol Roger, Rich Demi Sec",NV,Champagne Blend,White - Sparkling,France,Champagne,91,C,39.95,5,N
136,"Champagne Vilmart, Grand Cellier d'Or",2006,Champagne Blend,White - Sparkling,France,Champagne,92,E,60,2,N
137,"Champagne Vilmart, Grand Cellier",NV,Champagne Blend,White - Sparkling,France,Champagne,90,E,38.95,2,N
138,"Gaston Chiquet, Brut Tradition",NV,Champagne Blend,White - Sparkling,France,Champagne,88,B,25.95,2,N
139,Mailly Grand Cru Extra Brut,NV,Champagne Blend,White - Sparkling,France,Champagne,88.3,C,29.95,2,N
140,"Bonnaire Blanc de Blancs, Grand Cru",NV,Chardonnay,White - Sparkling,France,Champagne,87.6,D,28.95,2,N
141,"Champagne Lahaye, Cuvée Prestige Blanc de Noirs",NV,Pinot Noir,White - Sparkling,France,Champagne,88,D,32.95,2,N
142,"Le Mesnil, Blanc de Blancs, Grand Cru",2002,Chardonnay,White - Sparkling,France,Champagne,91,C,42,2,N
143,"Wehlener Sonnenuhr Riesling Spatlese Selbach-Oster, Mosel",2007,Riesling,White - Off-dry,Germany,Mosel,86,C,20.75,6,N
144,"Schlossbockelheimer Felsenberg Riesling Trocken, Donnhoff",2009,Riesling,White - Off-dry,Germany,Nahe,89.3,D,48.5,7,N
145,"Finca Flichman, Caballero de la Cepa Chardonnay, Mendoza",2009,Chardonnay,White,Argentina,Mendoza,84,D,9.95,2,N
146,"Kumeu River Village Chardonnay, Auckland, New Zealand",2009,Chardonnay,White,New Zealand,Auckland,86,B,12.95,2,N
147,"Signatures of Doolhof, Chardonnay, Doolhof Estate, Wellington, SA",2009,Chardonnay,White,South Africa,Cape Valley,85.5,D,12.5,2,N
148,"Berrys' White Burgundy, Jean-Luc Terrier & Ch. Collovray",2011,Chardonnay,White,France,Burgundy,84.5,B,10.95,2,N
